dsa_thr,bars_thr,vwap_thr,event_n,n,ret_20,mae_20,wr_20,rr_20,ret_40,mae_40,wr_40,rr_40,ret_rank,rr_rank
0.3,5,none,89,89,0.02353,-0.0795,0.5618,0.296,0.02742,-0.10805,0.4719,0.254,1.0,1.0
0.4,3,none,95,95,0.02232,-0.07819,0.5263,0.286,0.01787,-0.10976,0.4842,0.163,2.0,2.0
0.4,5,-1.0,102,102,0.02075,-0.0828,0.549,0.251,0.02477,-0.1091,0.5,0.227,3.0,3.0
0.4,5,-2.0,98,98,0.02012,-0.08149,0.551,0.247,0.01707,-0.11195,0.5,0.153,4.0,4.0
0.3,3,none,74,74,0.01889,-0.08081,0.5676,0.234,0.04882,-0.10982,0.5135,0.445,5.0,5.0
0.3,5,-2.0,76,76,0.01652,-0.08013,0.6053,0.206,0.01397,-0.10887,0.5,0.128,6.0,6.0
0.3,2,none,64,64,0.0124,-0.0846,0.5469,0.147,0.02653,-0.11657,0.5312,0.228,8.0,7.0
0.3,5,-1.0,79,79,0.01166,-0.07907,0.6076,0.147,0.01461,-0.10601,0.5063,0.138,9.0,7.0
0.35,2,none,74,74,0.01264,-0.09067,0.5,0.139,0.02736,-0.12541,0.4459,0.218,7.0,8.0
0.35,5,-1.0,96,96,0.01121,-0.08596,0.5,0.13,0.01623,-0.11396,0.4375,0.142,10.0,9.0
0.4,5,none,123,123,0.00996,-0.08539,0.4959,0.117,0.02382,-0.11235,0.5203,0.212,11.0,10.0
0.3,3,-2.0,60,60,0.00671,-0.07838,0.5833,0.086,0.0206,-0.11337,0.4833,0.182,12.0,11.0
0.4,3,-1.0,87,87,0.00655,-0.08455,0.5057,0.077,0.0016,-0.11999,0.4368,0.013,13.0,12.0
0.35,5,-2.0,90,90,0.00464,-0.0874,0.4778,0.053,0.00115,-0.1183,0.4333,0.01,14.0,13.0
0.35,5,none,104,104,0.00458,-0.08636,0.5192,0.053,0.00698,-0.11695,0.4904,0.06,15.0,13.0
0.35,3,-1.0,76,76,0.00405,-0.08387,0.5132,0.048,0.00749,-0.11286,0.4605,0.066,16.0,14.0
0.4,2,none,83,83,0.00405,-0.09367,0.506,0.043,0.01412,-0.12365,0.4699,0.114,16.0,15.0
0.4,3,-2.0,82,82,0.00341,-0.08503,0.5,0.04,0.00498,-0.11854,0.4512,0.042,17.0,16.0
0.3,3,-1.0,63,63,-0.00054,-0.08186,0.5873,-0.007,0.01233,-0.11242,0.4603,0.11,18.0,17.0
0.4,2,-2.0,69,69,-0.00203,-0.09392,0.4638,-0.022,0.0126,-0.12462,0.5072,0.101,19.0,18.0
0.3,2,-1.0,60,60,-0.00282,-0.08759,0.5333,-0.032,-0.00053,-0.1166,0.45,-0.005,20.0,19.0
0.35,3,none,86,86,-0.00527,-0.09025,0.4302,-0.058,0.0039,-0.12046,0.4651,0.032,21.0,20.0
0.3,2,-2.0,56,56,-0.00528,-0.08621,0.5357,-0.061,-0.00118,-0.1178,0.4643,-0.01,22.0,21.0
0.35,3,-2.0,74,74,-0.00574,-0.08485,0.473,-0.068,0.00374,-0.11662,0.4865,0.032,23.0,22.0
0.4,2,-1.0,73,73,-0.00967,-0.10047,0.4384,-0.096,-0.00038,-0.12792,0.4384,-0.003,24.0,23.0
0.35,2,-1.0,64,64,-0.01805,-0.09843,0.4531,-0.183,0.0037,-0.12846,0.3906,0.029,25.0,24.0
0.35,2,-2.0,58,58,-0.01844,-0.09878,0.4483,-0.187,0.00089,-0.12988,0.4138,0.007,26.0,25.0
