symbol,datetime,open,high,low,close,rope_dir,dist_to_rope_atr,rope_slope_atr_5,range_break_up,range_break_up_strength,is_consolidating,bb_width_percentile,bb_contracting,bb_contract_streak,bb_pos_01,dsa_pivot_pos_01,near_rope_loose,near_rope_strict,near_rope_streak_loose,near_rope_streak_strict,near_rope_ratio_5_loose,near_rope_ratio_5_strict,coil_loose,coil_strict,trigger_rope_slope_up,trigger_rope_slope_cross_up,trigger_break_up,not_too_high,ret_5,ret_10,ret_20,ret_40,max_dd_5,max_dd_10,max_dd_20,max_dd_40,win_5,win_10,win_20,win_40,variant,setup_active,rr_5,rr_10,rr_20,rr_40
002366.SZ,2021-05-14 07:00:00,3.92,4.19,3.92,4.07,0.0,0.23310396718486445,0.4079319425735128,0.0,,1.0,,0.0,0.0,,0.5909090909090914,True,True,4,4,0.8,0.8,True,False,True,False,False,True,0.024570024570024482,-0.04914004914004918,-0.05896805896805902,-0.11302211302211311,-0.04176904176904186,-0.0540540540540541,-0.09582309582309585,-0.15724815724815727,1.0,0.0,0.0,0.0,A_loose_background,1,0.5882352941176437,-0.9090909090909091,-0.6153846153846158,-0.7187500000000004
300859.SZ,2021-05-14 07:00:00,20.49,21.16,20.16,20.4,0.0,0.0,0.28829270291243375,0.0,,1.0,,0.0,0.0,,0.1079734219269102,True,True,4,4,0.8,0.8,True,False,True,False,False,True,-0.12254901960784315,-0.023039215686274456,0.08921568627450982,0.20098039215686284,-0.19999999999999993,-0.19999999999999993,-0.19999999999999993,-0.19999999999999993,0.0,0.0,1.0,1.0,A_loose_background,1,-0.612745098039216,-0.11519607843137232,0.44607843137254927,1.0049019607843146
300676.SZ,2021-05-19 07:00:00,121.8,122.88,120.57,120.8,0.0,-0.30569424247488086,0.001448787879026554,0.0,,1.0,,0.0,0.0,,0.22427184466019376,True,False,4,0,0.8,0.6,True,False,True,False,False,True,0.030546357615894023,0.03865894039735101,-0.039900662251655575,-0.12375827814569539,-0.0302152317880794,-0.0302152317880794,-0.052235099337748364,-0.1390728476821192,1.0,1.0,0.0,0.0,A_loose_background,1,1.0109589041095908,1.279452054794524,-0.7638668779714726,-0.8898809523809527
603221.SH,2021-05-19 07:00:00,10.49,10.49,10.39,10.4,0.0,-0.2786109053222611,0.08358327159667686,0.0,,1.0,,0.0,0.0,,0.06711409395973138,True,True,4,4,0.8,0.8,True,False,True,False,False,True,0.013461538461538344,0.027884615384615303,0.0,-0.01826923076923072,-0.007692307692307699,-0.007692307692307699,-0.007692307692307699,-0.02596153846153842,1.0,1.0,0.0,0.0,A_loose_background,1,1.7499999999999833,3.6249999999999862,0.0,-0.7037037037037029
601816.SH,2021-05-28 07:00:00,5.84,5.84,5.73,5.79,0.0,0.39416730855341237,0.6432667810472524,0.0,,1.0,,0.0,0.0,0.783585009165487,0.6250000000000002,True,False,1,0,0.8,0.6,True,False,True,False,False,True,-0.017271157167530162,0.0,-0.07944732297063903,-0.12262521588946458,-0.025906735751295398,-0.03281519861830749,-0.08290155440414515,-0.12435233160621757,0.0,0.0,0.0,0.0,A_loose_background,1,-0.6666666666666627,0.0,-0.9583333333333325,-0.9861111111111114
002724.SZ,2021-06-04 07:00:00,11.53,11.62,11.28,11.38,0.0,-0.0982224062485489,0.35964446943395934,0.0,,1.0,,0.0,0.0,0.6569033244446608,0.5530085959885391,True,True,3,3,0.8,0.8,True,False,True,False,False,True,0.0017574692442881873,0.07293497363796134,0.20210896309314577,0.43145869947275906,-0.005272407732864718,-0.005272407732864718,-0.005272407732864718,-0.005272407732864718,1.0,1.0,1.0,1.0,A_loose_background,1,0.33333333333332343,13.83333333333322,38.333333333333,81.83333333333263
688027.SH,2021-06-11 07:00:00,197.6,198.08,189.3,189.34,0.0,-0.42697321023914037,0.09190440048104613,0.0,,1.0,,1.0,4.0,0.33835205035330945,0.5215053763440861,True,False,4,0,0.8,0.4,True,False,True,False,False,True,0.16985317418400758,0.18448294074152322,0.11967888454631877,0.0668638428224358,-0.006654695257209205,-0.006654695257209205,-0.006654695257209205,-0.02820323228055352,1.0,1.0,1.0,1.0,A_loose_background,1,25.523809523809707,27.722222222222427,17.984126984127112,2.37078651685393
002564.SZ,2021-06-30 07:00:00,4.04,4.08,3.97,3.99,0.0,0.044806999473659584,0.23125031433611276,0.0,,1.0,0.18181818181818182,0.0,0.0,0.7451890571611184,0.7318435754189946,True,True,3,2,0.8,0.6,True,True,True,False,False,True,-0.030075187969924838,0.030075187969924838,0.15288220551378431,0.14786967418546362,-0.042606516290726905,-0.042606516290726905,-0.042606516290726905,-0.042606516290726905,0.0,1.0,1.0,1.0,A_loose_background,1,-0.7058823529411756,0.7058823529411756,3.588235294117636,3.4705882352941098
688571.SH,2021-07-19 07:00:00,8.9,8.9,8.77,8.84,0.0,-0.1990071235762177,0.1256333660029735,0.0,,1.0,0.45,0.0,0.0,0.2888552741018295,0.32967032967032944,True,True,4,3,0.8,0.6,True,False,True,False,False,True,-0.03054298642533932,-0.021493212669683202,0.013574660633484276,0.05542986425339369,-0.0328054298642533,-0.07352941176470593,-0.07352941176470593,-0.07352941176470593,0.0,0.0,1.0,1.0,A_loose_background,1,-0.931034482758622,-0.2923076923076914,0.18461538461538604,0.7538461538461537
603218.SH,2021-08-11 07:00:00,33.75,33.75,32.06,32.89,0.0,-0.09722843425411416,0.07134564357750615,0.0,,1.0,0.8947368421052632,0.0,0.0,0.6272013183634949,0.6784793814432989,True,True,4,3,0.8,0.6,True,False,True,False,False,True,-0.026147765278200043,0.12009729401033757,0.02462754636667687,0.04226208574034663,-0.04560656734569778,-0.04560656734569778,-0.13864396473092133,-0.13864396473092133,0.0,1.0,1.0,1.0,A_loose_background,1,-0.573333333333333,2.6333333333333355,0.1776315789473688,0.3048245614035087
