symbol,datetime,open,high,low,close,dsa_trade_pos_01,dsa_trade_dist_to_low_01,dsa_trade_dist_to_high_01,dsa_trade_range_width_pct,bb_pos_01,bb_width_norm,bb_width_percentile,bb_width_change_5,bb_expanding,bb_contracting,bb_expand_streak,bb_contract_streak,rope_dir,dist_to_rope_atr,rope_slope_atr_5,bars_since_dir_change,is_consolidating,range_break_up,range_break_up_strength,range_width_atr,channel_pos_01,range_pos_01,rope_pivot_pos_01,dsa_trade_breakout_20,dsa_trade_breakdown_20,w_dsa_trade_pos_01,w_dsa_trade_dist_to_low_01,w_dsa_trade_dist_to_high_01,w_dsa_trade_range_width_pct,w_factor_available,w_sample_count,ret_1,ret_3,ret_5,vol_ratio_20,vol_z_20,trend_gap_10_20,position_in_structure,dir_consistent,score_trend_total,score_volume_total,score_width_total,score_rope_total,score_setup_total,dsa_confirmed_pivot_pos_01,dsa_signed_vwap_dev_pct,dsa_trend_aligned_vwap_dev_pct,lh_hh_low_pos,dsa_bull_vwap_dev_pct,dsa_bear_vwap_dev_pct,prev_confirmed_up_bars,prev_confirmed_down_bars,last_confirmed_run_bars,current_run_bars,w_DSA_DIR,w_dsa_confirmed_pivot_pos_01,w_dsa_signed_vwap_dev_pct,w_prev_confirmed_up_bars,w_prev_confirmed_down_bars,ret_10,ret_20,ret_40,ret_60,max_dd_5,max_dd_10,max_dd_20,max_dd_40,max_dd_60,win_5,win_10,win_20,win_40,win_60,rr_20,good20,good20_hard,year,year_month
300422.SZ,2022-12-29 07:00:00,5.99,6.06,5.78,5.8,0.25242718446601914,0.25242718446601914,0.7475728155339808,0.17758620689655177,,,,,0.0,0.0,0.0,0.0,1.0,0.04903105300023263,0.5306249513580816,1.0,0.0,0.0,,1.4643941162736414,0.5245155265001163,0.8541666666666662,0.189473684210526,0.0,0.0,,,,,0.0,3.0,-0.0491803278688524,0.030195381882770933,-0.01724137931034477,3.3027957901994207,1.7710405461181493,-0.00937500000000005,0.45514576546083196,3.0,0.7657789186245568,0.9141813174149407,0.6386261354930513,0.934397033271163,0.7163062732238134,,-0.3531471187064175,-0.3531471187064175,,-0.3531471187064175,0.0,,14.0,14.0,2.0,-1.0,,-6.054143392815282,,,-0.029310344827586196,0.036206896551724134,0.07241379310344827,0.0,-0.024137931034482703,-0.04310344827586207,-0.04310344827586207,-0.04310344827586207,-0.04310344827586207,0.0,0.0,1.0,1.0,0.0,0.8399999999999999,1,1,2022,2022-12
000045.SZ,2023-01-06 07:00:00,12.0,12.06,11.24,11.24,0.41866666666666674,0.41866666666666674,0.5813333333333333,0.33362989323843417,,,,,0.0,0.0,0.0,0.0,1.0,0.122584287645803,0.15121222017443572,1.0,0.0,0.0,,1.915810856333169,0.5612921438229015,0.6429141644725205,0.24056603773584903,0.0,0.0,,,,,0.0,,-0.10008006405124104,-0.07868852459016384,-0.07740213523131681,0.89009753542604,-0.25510213830334255,0.0037179247050008637,0.4658597531744844,4.0,0.7809385050408509,0.27049348946844337,0.4636656817273949,0.81041004849446,0.6016079952594441,0.41866666666666674,9.812004128308324,9.812004128308324,0.5080906148867315,9.812004128308324,0.0,7.0,8.0,8.0,3.0,,,,,,-0.02224199288256228,0.012455516014234926,-0.0346975088967972,-0.0943060498220641,-0.09697508896797151,-0.09697508896797151,-0.09697508896797151,-0.09697508896797151,-0.10854092526690397,0.0,0.0,1.0,0.0,0.0,0.1284403669724776,0,0,2023,2023-01
000910.SZ,2023-01-11 07:00:00,8.96,9.08,8.85,8.91,0.4476190476190479,0.4476190476190479,0.5523809523809521,0.11784511784511792,,,,,0.0,0.0,0.0,0.0,1.0,0.6897023489108982,0.24965826357442175,3.0,0.0,0.0,,1.8177860248895936,0.8448511744554487,1.0,0.3763440860215051,0.0,0.0,,,,,0.0,4.0,-0.007795100222717233,-0.013289036544850363,0.048260381593714895,1.0344410622974052,0.06316204631733255,0.0008801464941816293,0.6672035770240003,4.0,0.7887887335717396,0.3388019261091676,0.6058087699481769,0.6597439668091577,0.5793233032357069,,3.0995602409156495,3.0995602409156495,,3.0995602409156495,0.0,,15.0,15.0,4.0,1.0,,6.423714056492981,,3.0,0.05836139169472498,0.0707070707070706,0.021324354657687936,0.04264870931537587,-0.01122334455667785,-0.01122334455667785,-0.01122334455667785,-0.01122334455667785,-0.01122334455667785,1.0,1.0,1.0,1.0,1.0,6.300000000000013,1,1,2023,2023-01
603010.SH,2023-01-11 07:00:00,12.35,12.48,12.18,12.21,0.394957983193278,0.394957983193278,0.605042016806722,0.0974610974610974,,,,,0.0,0.0,0.0,0.0,1.0,0.16892179465973592,0.1871589713597292,3.0,0.0,0.0,,1.8139600607486022,0.584460897329868,0.6963002238718058,0.29411764705882437,0.0,0.0,,,,,0.0,4.0,-0.016908212560386437,-0.030182684670373217,0.030303030303030238,1.0396320492096698,0.09517917750035247,-0.00493555756713662,0.492459187863444,3.0,0.7390857857093919,0.35144007997501525,0.6012708852738081,0.8282090411468572,0.5879244340402714,,2.589050930433107,2.589050930433107,,2.589050930433107,0.0,,16.0,16.0,3.0,-1.0,,-0.28366040006596205,,,0.06388206388206383,0.10974610974610972,0.0859950859950859,-0.01719901719901727,-0.006552006552006558,-0.006552006552006558,-0.006552006552006558,-0.006552006552006558,-0.02538902538902543,1.0,1.0,1.0,1.0,0.0,16.749999999999982,1,1,2023,2023-01
300718.SZ,2023-01-12 07:00:00,25.6,26.02,23.2,23.99,0.4492481203007513,0.4492481203007513,0.5507518796992487,0.2217590662776157,0.444484219680934,0.18651198378265846,,,0.0,0.0,0.0,0.0,1.0,0.0950424123328134,0.3859190933267501,4.0,0.0,0.0,,1.9055311155813701,0.5475212061664066,0.7524028611901328,0.41633466135458136,0.0,0.0,,,,,0.0,4.0,-0.059215686274509904,-0.07766243752402935,-0.032930387661525604,2.6126905520507817,3.1384418405349157,-0.004668611921634092,0.5219982137385611,3.0,0.6607585493054607,1.0,0.5664725899396554,0.8719152700167335,0.6795246992538814,0.4492481203007513,7.150183085708196,7.150183085708196,0.502100840336134,7.150183085708196,0.0,3.0,10.0,10.0,4.0,-1.0,,5.669541818440696,,,-0.06627761567319716,-0.14297624010004167,-0.23801583993330544,-0.27803251354731134,-0.098374322634431,-0.098374322634431,-0.14839516465193828,-0.24135056273447267,-0.2913714047519799,0.0,0.0,0.0,0.0,0.0,-0.9634831460674158,0,0,2023,2023-01
002765.SZ,2023-01-13 07:00:00,9.46,9.54,9.1,9.23,0.34020618556701077,0.34020618556701077,0.6597938144329892,0.10509209100758383,0.4159465750679936,0.08700895575945991,,,0.0,0.0,0.0,0.0,1.0,0.09091098372023193,0.2468043118379571,4.0,0.0,0.0,,1.967477325260091,0.545455491860116,0.6716488882602732,0.34020618556701077,0.0,0.0,,,,,0.0,4.0,-0.024312896405919715,-0.04451345755693581,0.010834236186348824,1.2003201570334678,0.4388062121293557,0.011267605633802923,0.46269266526448083,4.0,0.7326413438316399,0.46108923355439846,0.5999849294481793,0.8734030533588654,0.6590709824881004,,0.742150212591792,0.742150212591792,,0.742150212591792,0.0,,17.0,17.0,6.0,1.0,,5.845338516491591,,3.0,0.05308775731310945,-0.0021668472372697264,-0.17009750812567717,-0.1917659804983749,-0.00975081256771396,-0.00975081256771396,-0.014084507042253605,-0.19826652221018418,-0.19826652221018418,1.0,1.0,0.0,0.0,0.0,-0.15384615384614966,0,0,2023,2023-01
000619.SZ,2023-01-16 07:00:00,6.8,6.8,6.68,6.74,0.44660194174757306,0.44660194174757306,0.5533980582524269,0.15281899109792274,0.6892567771351353,0.10106661667908381,,,0.0,0.0,0.0,0.0,1.0,0.4609278166627895,0.25381103263682103,4.0,0.0,0.0,,1.92558115539516,0.7304639083313944,0.8711808496344235,0.321428571428572,0.0,0.0,,,,,0.0,5.0,-0.007363770250368162,-0.016058394160583855,0.029673590504451064,1.0576892952812231,0.07153543791758313,0.014169139465875556,0.6117864096554196,4.0,0.8127159606289306,0.3358963043204094,0.5845112639321983,0.7539189145958161,0.6042093389703224,,3.169723877419556,3.169723877419556,0.5542168674698794,3.169723877419556,0.0,1.0,15.0,15.0,5.0,1.0,,6.911875342208712,,4.0,0.029673590504451064,0.037091988130563795,0.014836795252225466,-0.048961424332344225,-0.017804154302670638,-0.017804154302670638,-0.017804154302670638,-0.017804154302670638,-0.06379821958456983,1.0,1.0,1.0,1.0,0.0,2.0833333333333313,1,1,2023,2023-01
600305.SH,2023-01-19 07:00:00,12.22,12.25,12.03,12.19,0.4086021505376335,0.4086021505376335,0.5913978494623665,0.07629204265791631,0.5708234974194717,0.05932119557266017,,0.09401275538262266,1.0,0.0,1.0,0.0,1.0,0.40477821089150406,0.02934622340887754,3.0,0.0,0.0,,1.9831312065909041,0.7023891054457517,0.7189085789470592,0.40217391304347744,0.0,0.0,,,,,0.0,5.0,-0.005709624796084833,-0.027910685805422664,0.03773584905660385,0.6686328451779984,-1.1029419946191814,0.003773584905660326,0.5605794490786787,4.0,0.7605156553675424,0.06366914313386096,0.5044802065223185,0.7598377749842712,0.5463205551548856,,1.3559210728247304,1.3559210728247304,,1.3559210728247304,0.0,,21.0,21.0,4.0,-1.0,,-0.5607491838198079,,,-0.009023789991796509,0.0721903199343725,-0.035274815422477415,-0.07547169811320754,-0.01886792452830178,-0.025430680885972005,-0.025430680885972005,-0.06070549630844957,-0.07547169811320754,1.0,0.0,1.0,0.0,0.0,2.8387096774193687,1,1,2023,2023-01
002352.SZ,2023-01-31 07:00:00,59.15,60.24,57.71,58.64,0.4082031250000003,0.4082031250000003,0.5917968749999997,0.08731241473397006,0.3787303578619257,0.0844831757092831,,-0.00115668366044408,0.0,1.0,0.0,1.0,1.0,0.002657807967069143,0.009870453572167825,7.0,0.0,0.0,,1.9374391623131835,0.5013289039835346,0.6712362773066749,0.34415584415584455,0.0,0.0,,,,,0.0,,-0.003906913538304635,-0.03916106832705224,-0.020293315143246893,1.4712033021182387,1.246281737155094,0.010538881309686136,0.460730901661596,4.0,0.7259514362819542,0.7711479835404917,0.6013516530896202,0.861261572438675,0.7081636239481909,,0.6225832950275023,0.6225832950275023,,0.6225832950275023,0.0,,8.0,8.0,20.0,,,,,,-0.022851296043656266,-0.0803206002728513,-0.08765347885402457,-0.061050477489768044,-0.03649386084583903,-0.03649386084583903,-0.09447476125511595,-0.12738744884038197,-0.12738744884038197,0.0,0.0,0.0,0.0,0.0,-0.8501805054151627,0,0,2023,2023-01
002889.SZ,2023-02-16 07:00:00,24.68,25.29,24.11,24.32,0.4426807760141095,0.4426807760141095,0.5573192239858905,0.23314144736842113,0.5789650440144091,0.18759274481546614,,-0.11264703829399292,0.0,1.0,0.0,1.0,1.0,0.22406039123965993,0.0,12.0,0.0,0.0,,1.3030835210953193,0.6120301956198297,1.0,0.3333333333333336,0.0,0.0,,,,,0.0,8.0,-0.012185215272136452,-0.024077046548956704,0.012746710526315737,1.1925226894394059,0.2807773752028852,0.037376644736842206,0.5934018697963364,2.0,0.6989189049348155,0.4025756467809285,0.6347063813491082,0.7612723030194428,0.5256785610479932,,1.9415441479332594,1.9415441479332594,,1.9415441479332594,0.0,,29.0,29.0,11.0,1.0,,10.853267131586438,,6.0,0.01069078947368413,0.07976973684210531,-0.011924342105263122,-0.002467105263157842,-0.013157894736842117,-0.013157894736842117,-0.020148026315789554,-0.021381578947368404,-0.08758223684210523,1.0,1.0,1.0,0.0,0.0,3.9591836734693744,1,1,2023,2023-02
