dsa_confirmed_pos_max,dsa_trade_width_pct_max,bars_since_dir_change_max,w_dsa_signed_vwap_dev_min,weekly_mode,weekly_prev_down_range,trigger_type,n,ret_20,mae_20,wr_20,rr_20,quality_score,rank_score
0.38,0.22,9,-2.3,soft,none,expand_or_break,12,0.04876,-0.02355,0.8333,2.07,0.6241,296.908
0.38,0.22,12,-2.3,soft,none,expand_or_break,12,0.04876,-0.02355,0.8333,2.07,0.6241,296.908
0.38,0.35,9,-2.3,soft,none,expand_only,16,0.05821,-0.02971,0.875,1.96,0.6255,281.98
0.38,0.35,9,-1.6,soft,none,expand_only,16,0.05821,-0.02971,0.875,1.96,0.6255,281.98
0.38,0.35,9,-1.0,soft,none,expand_only,16,0.05821,-0.02971,0.875,1.96,0.6255,281.98
0.38,0.35,12,-2.3,soft,none,expand_only,16,0.05821,-0.02971,0.875,1.96,0.6255,281.98
0.38,0.35,12,-1.6,soft,none,expand_only,16,0.05821,-0.02971,0.875,1.96,0.6255,281.98
0.38,0.35,12,-1.0,soft,none,expand_only,16,0.05821,-0.02971,0.875,1.96,0.6255,281.98
0.38,0.35,9,-2.3,strict,none,expand_only,15,0.0588,-0.03034,0.8667,1.938,0.6227,278.791
0.38,0.35,9,-1.6,strict,none,expand_only,15,0.0588,-0.03034,0.8667,1.938,0.6227,278.791
0.38,0.35,9,-1.0,strict,none,expand_only,15,0.0588,-0.03034,0.8667,1.938,0.6227,278.791
0.38,0.35,12,-2.3,strict,none,expand_only,15,0.0588,-0.03034,0.8667,1.938,0.6227,278.791
0.38,0.35,12,-1.6,strict,none,expand_only,15,0.0588,-0.03034,0.8667,1.938,0.6227,278.791
0.38,0.35,12,-1.0,strict,none,expand_only,15,0.0588,-0.03034,0.8667,1.938,0.6227,278.791
0.38,0.35,6,-2.3,soft,none,expand_only,15,0.06005,-0.03156,0.8667,1.903,0.6298,273.899
0.38,0.35,6,-1.6,soft,none,expand_only,15,0.06005,-0.03156,0.8667,1.903,0.6298,273.899
0.38,0.35,6,-1.0,soft,none,expand_only,15,0.06005,-0.03156,0.8667,1.903,0.6298,273.899
0.38,0.35,6,-2.3,strict,none,expand_only,14,0.0608,-0.03237,0.8571,1.878,0.6271,270.281
0.38,0.35,6,-1.6,strict,none,expand_only,14,0.0608,-0.03237,0.8571,1.878,0.6271,270.281
0.38,0.35,6,-1.0,strict,none,expand_only,14,0.0608,-0.03237,0.8571,1.878,0.6271,270.281
0.34,0.28,9,-1.6,soft,none,expand_or_break,13,0.04721,-0.02727,0.9231,1.732,0.6226,250.077
0.34,0.28,9,-1.6,strict,none,expand_or_break,13,0.04721,-0.02727,0.9231,1.732,0.6226,250.077
0.34,0.28,9,-1.0,soft,none,expand_or_break,13,0.04721,-0.02727,0.9231,1.732,0.6226,250.077
0.34,0.28,9,-1.0,strict,none,expand_or_break,13,0.04721,-0.02727,0.9231,1.732,0.6226,250.077
0.34,0.28,12,-1.6,soft,none,expand_or_break,13,0.04721,-0.02727,0.9231,1.732,0.6226,250.077
0.34,0.28,12,-1.6,strict,none,expand_or_break,13,0.04721,-0.02727,0.9231,1.732,0.6226,250.077
0.34,0.28,12,-1.0,soft,none,expand_or_break,13,0.04721,-0.02727,0.9231,1.732,0.6226,250.077
0.34,0.28,12,-1.0,strict,none,expand_or_break,13,0.04721,-0.02727,0.9231,1.732,0.6226,250.077
0.34,0.28,6,-1.6,soft,none,expand_or_break,12,0.04859,-0.02938,0.9167,1.654,0.6278,239.057
0.34,0.28,6,-1.6,strict,none,expand_or_break,12,0.04859,-0.02938,0.9167,1.654,0.6278,239.057
0.34,0.28,6,-1.0,soft,none,expand_or_break,12,0.04859,-0.02938,0.9167,1.654,0.6278,239.057
0.34,0.28,6,-1.0,strict,none,expand_or_break,12,0.04859,-0.02938,0.9167,1.654,0.6278,239.057
0.34,0.28,9,-2.3,soft,none,expand_or_break,14,0.04317,-0.02734,0.8571,1.579,0.6217,228.247
0.34,0.28,9,-2.3,strict,none,expand_or_break,14,0.04317,-0.02734,0.8571,1.579,0.6217,228.247
0.34,0.28,12,-2.3,soft,none,expand_or_break,14,0.04317,-0.02734,0.8571,1.579,0.6217,228.247
0.34,0.28,12,-2.3,strict,none,expand_or_break,14,0.04317,-0.02734,0.8571,1.579,0.6217,228.247
0.34,0.35,9,-1.6,soft,none,expand_or_break,18,0.05424,-0.03567,0.8889,1.521,0.6128,220.499
0.34,0.35,9,-1.6,strict,none,expand_or_break,18,0.05424,-0.03567,0.8889,1.521,0.6128,220.499
0.34,0.35,9,-1.0,soft,none,expand_or_break,18,0.05424,-0.03567,0.8889,1.521,0.6128,220.499
0.34,0.35,9,-1.0,strict,none,expand_or_break,18,0.05424,-0.03567,0.8889,1.521,0.6128,220.499
0.34,0.35,12,-1.6,soft,none,expand_or_break,18,0.05424,-0.03567,0.8889,1.521,0.6128,220.499
0.34,0.35,12,-1.6,strict,none,expand_or_break,18,0.05424,-0.03567,0.8889,1.521,0.6128,220.499
0.34,0.35,12,-1.0,soft,none,expand_or_break,18,0.05424,-0.03567,0.8889,1.521,0.6128,220.499
0.34,0.35,12,-1.0,strict,none,expand_or_break,18,0.05424,-0.03567,0.8889,1.521,0.6128,220.499
0.34,0.28,6,-2.3,soft,none,expand_or_break,13,0.04413,-0.02929,0.8462,1.506,0.6264,217.896
0.34,0.28,6,-2.3,strict,none,expand_or_break,13,0.04413,-0.02929,0.8462,1.506,0.6264,217.896
0.38,0.28,9,-2.3,soft,none,expand_only,14,0.04819,-0.03218,0.8571,1.497,0.6299,216.762
0.38,0.28,9,-1.6,soft,none,expand_only,14,0.04819,-0.03218,0.8571,1.497,0.6299,216.762
0.38,0.28,9,-1.0,soft,none,expand_only,14,0.04819,-0.03218,0.8571,1.497,0.6299,216.762
0.38,0.28,12,-2.3,soft,none,expand_only,14,0.04819,-0.03218,0.8571,1.497,0.6299,216.762
0.38,0.28,12,-1.6,soft,none,expand_only,14,0.04819,-0.03218,0.8571,1.497,0.6299,216.762
0.38,0.28,12,-1.0,soft,none,expand_only,14,0.04819,-0.03218,0.8571,1.497,0.6299,216.762
0.34,0.35,6,-1.6,soft,none,expand_or_break,17,0.05563,-0.03765,0.8824,1.477,0.6158,214.237
0.34,0.35,6,-1.6,strict,none,expand_or_break,17,0.05563,-0.03765,0.8824,1.477,0.6158,214.237
0.34,0.35,6,-1.0,soft,none,expand_or_break,17,0.05563,-0.03765,0.8824,1.477,0.6158,214.237
0.34,0.35,6,-1.0,strict,none,expand_or_break,17,0.05563,-0.03765,0.8824,1.477,0.6158,214.237
0.38,0.28,9,-2.3,strict,none,expand_only,13,0.04809,-0.0331,0.8462,1.453,0.6269,210.46
0.38,0.28,9,-1.6,strict,none,expand_only,13,0.04809,-0.0331,0.8462,1.453,0.6269,210.46
0.38,0.28,9,-1.0,strict,none,expand_only,13,0.04809,-0.0331,0.8462,1.453,0.6269,210.46
0.38,0.28,12,-2.3,strict,none,expand_only,13,0.04809,-0.0331,0.8462,1.453,0.6269,210.46
0.38,0.28,12,-1.6,strict,none,expand_only,13,0.04809,-0.0331,0.8462,1.453,0.6269,210.46
0.38,0.28,12,-1.0,strict,none,expand_only,13,0.04809,-0.0331,0.8462,1.453,0.6269,210.46
0.34,0.35,9,-2.3,soft,none,expand_or_break,19,0.05089,-0.03528,0.8421,1.442,0.6126,209.166
0.34,0.35,9,-2.3,strict,none,expand_or_break,19,0.05089,-0.03528,0.8421,1.442,0.6126,209.166
0.34,0.35,12,-2.3,soft,none,expand_or_break,19,0.05089,-0.03528,0.8421,1.442,0.6126,209.166
0.34,0.35,12,-2.3,strict,none,expand_or_break,19,0.05089,-0.03528,0.8421,1.442,0.6126,209.166
0.38,0.28,6,-2.3,soft,none,expand_only,13,0.04953,-0.03451,0.8462,1.435,0.6352,207.95
0.38,0.28,6,-1.6,soft,none,expand_only,13,0.04953,-0.03451,0.8462,1.435,0.6352,207.95
0.38,0.28,6,-1.0,soft,none,expand_only,13,0.04953,-0.03451,0.8462,1.435,0.6352,207.95
0.3,0.35,6,-1.6,soft,none,expand_or_break,13,0.05977,-0.04269,0.9231,1.4,0.619,203.469
0.3,0.35,6,-1.6,strict,none,expand_or_break,13,0.05977,-0.04269,0.9231,1.4,0.619,203.469
0.3,0.35,6,-1.0,soft,none,expand_or_break,13,0.05977,-0.04269,0.9231,1.4,0.619,203.469
0.3,0.35,6,-1.0,strict,none,expand_or_break,13,0.05977,-0.04269,0.9231,1.4,0.619,203.469
0.3,0.35,9,-1.6,soft,none,expand_or_break,13,0.05977,-0.04269,0.9231,1.4,0.619,203.469
0.3,0.35,9,-1.6,strict,none,expand_or_break,13,0.05977,-0.04269,0.9231,1.4,0.619,203.469
0.3,0.35,9,-1.0,soft,none,expand_or_break,13,0.05977,-0.04269,0.9231,1.4,0.619,203.469
