analysis,group,target,n,mean_ret,median_ret,win_rate,std
quality_grade,grade_B,ret_5,14966,0.0078,-0.009,0.441,0.1122
quality_grade,grade_B,ret_10,14918,0.0065,-0.0101,0.4434,0.1405
quality_grade,grade_B,ret_20,14797,0.0109,-0.0143,0.4471,0.1883
quality_grade,grade_C,ret_5,25027,0.0071,-0.0039,0.4654,0.0946
quality_grade,grade_C,ret_10,24940,0.0093,-0.003,0.4815,0.1252
quality_grade,grade_C,ret_20,24700,0.0157,-0.0039,0.4825,0.1822
quality_grade,grade_D,ret_5,66447,0.0032,-0.0026,0.4694,0.0798
quality_grade,grade_D,ret_10,66232,0.0088,0.0017,0.5072,0.1073
quality_grade,grade_D,ret_20,65777,0.0229,0.01,0.537,0.1513
rope_dir,多头_1.0,ret_5,106440,0.0048,-0.0036,0.4645,0.0886
rope_dir,多头_1.0,ret_10,106090,0.0086,-0.0006,0.4922,0.1168
rope_dir,多头_1.0,ret_20,105274,0.0195,0.0035,0.5115,0.1646
flip_type,to_short,ret_5,13405,-0.0181,-0.018,0.3374,0.0648
flip_type,to_short,ret_10,13405,-0.0072,-0.0093,0.4387,0.0869
flip_type,to_short,ret_20,13405,0.0216,0.0158,0.5673,0.1112
flip_type,to_flat,ret_5,92869,0.008,-0.0015,0.4824,0.091
flip_type,to_flat,ret_10,92667,0.0108,0.0,0.4999,0.1204
flip_type,to_flat,ret_20,91867,0.0192,0.0015,0.5034,0.171
t1_consistency,方向翻转,ret_5,11534,-0.036,-0.0344,0.2513,0.07
t1_consistency,方向翻转,ret_10,11526,-0.0284,-0.0275,0.3415,0.0928
t1_consistency,方向翻转,ret_20,11496,-0.0013,-0.0052,0.4751,0.1254
t1_consistency,方向一致,ret_5,94906,0.0097,0.0,0.4904,0.0893
t1_consistency,方向一致,ret_10,94564,0.0131,0.0023,0.5106,0.1186
t1_consistency,方向一致,ret_20,93778,0.022,0.0046,0.516,0.1686
