removed_feature,baseline_ic,ablated_ic,ic_drop
dir_consistent,0.226,0.1174,0.1086
breakout_watch_flag,0.226,0.2145,0.0116
high_break_flag,0.226,0.2146,0.0114
n_high_levels_broken,0.226,0.2146,0.0114
position_in_structure,0.226,0.2154,0.0106
breakout_quality_score,0.226,0.2157,0.0103
dist_to_rope_atr,0.226,0.2169,0.0091
delta_pct,0.226,0.2187,0.0073
range_width_atr,0.226,0.2194,0.0066
bull_pct,0.226,0.2199,0.0062
close_pos,0.226,0.2204,0.0056
body_to_range,0.226,0.2238,0.0022
rope_dir,0.226,0.226,0.0
score_freshness_total,0.226,0.226,0.0
score_trend_total,0.226,0.2399,-0.0139
vol_zscore,0.226,0.2402,-0.0142
rope_slope_atr_5,0.226,0.2425,-0.0165
score_volume_total,0.226,0.2444,-0.0183
upper_wick_ratio,0.226,0.2513,-0.0253
vol_record_days,0.226,0.2517,-0.0256
score_candle_total,0.226,0.2583,-0.0323
