factor,IC,Rank_IC,best_Q_rr,Q1_rr,Q5_rr,Q1_ret20,Q5_ret20,error
signed_vwap_dev_pct,-0.0021,-0.0951,Q1,0.302,0.123,0.02738,0.01316,
trend_aligned_vwap_dev_pct,0.1295,0.0766,Q5,-0.041,0.313,-0.00355,0.03084,
bb_pos_01,-0.0255,-0.0493,Q1,0.15,0.03,0.01294,0.003,
dsa_pivot_pos_01,-0.0053,-0.0468,Q3,0.071,0.06,0.00666,0.00625,
dist_to_rope_atr,-0.0287,-0.0465,Q1,0.151,0.012,0.01289,0.00111,
channel_pos_01,-0.0287,-0.0459,Q1,0.151,0.012,0.01289,0.00111,
rope_pivot_pos_01,0.0289,0.0425,Q5,0.089,0.282,0.00814,0.02502,
lh_hh_low_pos,-0.0206,-0.0357,Q3,0.073,0.003,0.00684,0.00033,
bb_width_percentile,0.0302,0.0322,Q5,0.113,0.217,0.00908,0.0201,
bb_width_change_5,0.0288,0.0256,Q5,0.039,0.177,0.00329,0.01615,
range_break_up_strength,0.0332,0.02,Q2,-0.2,0.029,-0.01939,0.00292,
bb_width_norm,0.0541,0.0171,Q5,0.068,0.26,0.00441,0.02658,
w_dsa_pivot_pos_01,0.0114,-0.0146,Q5,0.09,0.101,0.00824,0.01039,
bars_since_dir_change,0.0169,0.0097,Q5,0.116,0.157,0.01076,0.0132,
range_width_atr,-0.0153,0.0069,Q1,0.124,0.076,0.01242,0.00615,
w_signed_vwap_dev_pct,0.0177,-0.0047,Q4,0.116,0.052,0.01105,0.00553,
bull_vwap_dev_pct,,,,,,,,Bin labels must be one fewer than the number of bin edges
bear_vwap_dev_pct,,,,,,,,Bin labels must be one fewer than the number of bin edges
rope_slope_atr_5,,,,,,,,Bin labels must be one fewer than the number of bin edges
range_pos_01,,,,,,,,Bin labels must be one fewer than the number of bin edges
bb_expand_streak,,,,,,,,Bin labels must be one fewer than the number of bin edges
bb_contract_streak,,,,,,,,Bin labels must be one fewer than the number of bin edges
