rule,n,coverage_pct,ret20,dd20,wr20,rr20
signed_vwap_dev_pct<=-3,16702,54.5,0.01334,-0.08244,0.5102,0.162
bb_pos_01<=0.15,5223,17.0,0.01392,-0.08614,0.5001,0.162
dsa<0.4&vwap_dev<-2,15264,49.8,0.01221,-0.08208,0.5069,0.149
bb_pos_01<=0.2,6802,22.2,0.01276,-0.08616,0.495,0.148
signed_vwap_dev_pct<=-2,17853,58.3,0.01205,-0.08224,0.5045,0.146
bb_pos_01<=0.25,8478,27.7,0.01224,-0.08561,0.4929,0.143
slope>0&vwap_dev<-2,1823,6.0,0.01111,-0.08089,0.5058,0.137
bb_width_percentile<=0.2,7050,23.0,0.01028,-0.08074,0.4756,0.127
dsa_pivot_pos_01<=0.5,18908,61.7,0.00994,-0.083,0.4955,0.12
dsa_pivot_pos_01<=0.4,16525,53.9,0.0095,-0.08341,0.4952,0.114
bb_width_percentile<=0.25,8448,27.6,0.00884,-0.08161,0.4706,0.108
bars_since_dir_change<=3,10779,35.2,0.00986,-0.0922,0.4709,0.107
dsa_pivot_pos_01<=0.3,14044,45.8,0.0088,-0.08482,0.4932,0.104
bars_since_dir_change<=5,14698,48.0,0.00901,-0.09157,0.4712,0.098
bb_width_percentile<=0.3,9859,32.2,0.00741,-0.08265,0.471,0.09
dsa<0.4&窄幅突破,215,0.7,-0.00525,-0.09669,0.4419,-0.054
