2026-03-04 14:01:35 | INFO     | __main__ | 扫描周期: ['15']
2026-03-04 14:01:36 | INFO     | __main__ | 股票池共 4750 只股票
2026-03-04 14:01:36 | INFO     | __main__ | 数据库连接正常
2026-03-04 14:01:36 | ERROR    | src.db | 数据库操作异常: (psycopg2.errors.UndefinedTable) relation "stock_amp_features" does not exist

[SQL: TRUNCATE TABLE stock_amp_features RESTART IDENTITY CASCADE]
(Background on this error at: https://sqlalche.me/e/20/f405)
2026-03-04 14:01:36 | WARNING  | __main__ | 数据库操作失败: (psycopg2.errors.UndefinedTable) relation "stock_amp_features" does not exist

[SQL: TRUNCATE TABLE stock_amp_features RESTART IDENTITY CASCADE]
(Background on this error at: https://sqlalche.me/e/20/f405)
2026-03-04 14:01:36 | INFO     | __main__ | 将仅保存到 Excel 文件
2026-03-04 14:04:39 | INFO     | __main__ | 扫描周期: ['15']
2026-03-04 14:04:39 | INFO     | __main__ | 股票池共 4750 只股票
2026-03-04 14:04:39 | INFO     | __main__ | 限制扫描前 1 只股票
2026-03-04 14:04:39 | INFO     | __main__ | 数据库连接正常
2026-03-04 14:04:39 | ERROR    | src.db | 数据库操作异常: (psycopg2.errors.UndefinedTable) relation "stock_amp_features" does not exist

[SQL: TRUNCATE TABLE stock_amp_features RESTART IDENTITY CASCADE]
(Background on this error at: https://sqlalche.me/e/20/f405)
2026-03-04 14:04:39 | WARNING  | __main__ | 数据库操作失败: (psycopg2.errors.UndefinedTable) relation "stock_amp_features" does not exist

[SQL: TRUNCATE TABLE stock_amp_features RESTART IDENTITY CASCADE]
(Background on this error at: https://sqlalche.me/e/20/f405)
2026-03-04 14:04:39 | INFO     | __main__ | 将仅保存到 Excel 文件
2026-03-04 14:04:54 | INFO     | __main__ | 扫描周期: ['15']
2026-03-04 14:04:54 | INFO     | __main__ | 股票池共 4750 只股票
2026-03-04 14:04:54 | INFO     | __main__ | 限制扫描前 1 只股票
2026-03-04 14:04:54 | INFO     | __main__ | 数据库连接正常
2026-03-04 14:04:54 | INFO     | __main__ | 表 stock_amp_features 已创建/确认存在
2026-03-04 14:04:54 | INFO     | __main__ | 表 stock_amp_features 已清空
2026-03-04 14:04:55 | ERROR    | __main__ | 华胜天成(600410.SH) 15: Invalid frequency: 15, failed to parse with error message: ValueError('last element must be blank')
2026-03-04 14:04:55 | WARNING  | __main__ | 无有效特征数据
2026-03-04 14:04:55 | INFO     | __main__ | 扫描完成，共保存 0 条记录
2026-03-04 14:05:09 | INFO     | __main__ | 华胜天成(600410.SH) 15: 2741 bars, strength=0.926, close_pos=0.348, activity=0.254
2026-03-04 14:05:10 | INFO     | __main__ | 特征已保存到 Excel 文件: /Users/zhenbao/Nextcloud/coding/交易/amp_features_20260304_140509.xlsx
2026-03-04 14:05:10 | INFO     | __main__ | 扫描完成，共保存 0 条记录
2026-03-04 14:10:13 | INFO     | __main__ | 扫描周期: ['15']
2026-03-04 14:10:14 | INFO     | __main__ | 股票池共 4750 只股票
2026-03-04 14:10:14 | INFO     | __main__ | 限制扫描前 1 只股票
2026-03-04 14:10:14 | INFO     | __main__ | 数据库连接正常
2026-03-04 14:10:14 | INFO     | __main__ | 表 stock_amp_features 已创建/确认存在
2026-03-04 14:10:14 | INFO     | __main__ | 表 stock_amp_features 已清空
2026-03-04 14:10:33 | INFO     | __main__ | 华胜天成(600410.SH) 15m: 8923 bars, strength=0.941, close_pos=0.078, activity=0.189
2026-03-04 14:11:45 | INFO     | __main__ | 共保存 8923 条特征记录到数据库
2026-03-04 14:11:47 | INFO     | __main__ | 特征已保存到 Excel 文件: /Users/zhenbao/Nextcloud/coding/交易/amp_features_20260304_141145.xlsx
2026-03-04 14:11:47 | INFO     | __main__ | 扫描完成，共保存 8923 条记录
2026-03-04 14:12:41 | INFO     | __main__ | 扫描周期: ['15']
2026-03-04 14:12:41 | INFO     | __main__ | 股票池共 4750 只股票
2026-03-04 14:12:42 | INFO     | __main__ | 数据库连接正常
2026-03-04 14:12:42 | INFO     | __main__ | 表 stock_amp_features 已创建/确认存在
2026-03-04 14:12:42 | INFO     | __main__ | 表 stock_amp_features 已清空
2026-03-04 14:12:59 | INFO     | __main__ | 华胜天成(600410.SH) 15m: 8923 bars, strength=0.941, close_pos=0.078, activity=0.189
2026-03-04 14:13:18 | INFO     | __main__ | 豫能控股(001896.SZ) 15m: 8905 bars, strength=0.992, close_pos=0.175, activity=0.088
2026-03-04 14:13:35 | INFO     | __main__ | 协鑫集成(002506.SZ) 15m: 8905 bars, strength=0.910, close_pos=0.201, activity=0.237
2026-03-04 14:13:52 | INFO     | __main__ | 中天科技(600522.SH) 15m: 8923 bars, strength=0.936, close_pos=0.962, activity=0.395
2026-03-04 14:14:09 | INFO     | __main__ | 利欧股份(002131.SZ) 15m: 8905 bars, strength=0.915, close_pos=0.402, activity=0.219
2026-03-04 14:14:24 | INFO     | __main__ | 华银电力(600744.SH) 15m: 8833 bars, strength=0.943, close_pos=0.163, activity=0.067
2026-03-04 14:14:40 | INFO     | __main__ | 沪电股份(002463.SZ) 15m: 8815 bars, strength=0.937, close_pos=0.178, activity=0.208
2026-03-04 14:14:55 | INFO     | __main__ | 金正大(002470.SZ) 15m: 8941 bars, strength=0.974, close_pos=0.318, activity=0.154
2026-03-04 14:15:10 | INFO     | __main__ | 润泽科技(300442.SZ) 15m: 8869 bars, strength=0.933, close_pos=0.256, activity=0.178
2026-03-04 14:15:26 | INFO     | __main__ | 金风科技(002202.SZ) 15m: 8905 bars, strength=0.951, close_pos=0.146, activity=0.125
2026-03-04 14:15:44 | INFO     | __main__ | 云南锗业(002428.SZ) 15m: 8869 bars, strength=0.973, close_pos=0.197, activity=0.129
2026-03-04 14:16:00 | INFO     | __main__ | 汉缆股份(002498.SZ) 15m: 8797 bars, strength=0.951, close_pos=0.059, activity=0.122
2026-03-04 14:16:00 | WARNING  | __main__ | 航天发展(000547.SZ) 15: 数据不足(0 bars)
2026-03-04 14:16:00 | WARNING  | __main__ | 特变电工(600089.SH) 15: 数据不足(0 bars)
2026-03-04 14:16:00 | WARNING  | __main__ | 大位科技(600589.SH) 15: 数据不足(0 bars)
2026-03-04 14:16:00 | WARNING  | __main__ | 明阳电路(300739.SZ) 15: 数据不足(0 bars)
2026-03-04 14:16:00 | WARNING  | __main__ | 洲际油气(600759.SH) 15: 数据不足(0 bars)
2026-03-04 14:16:00 | WARNING  | __main__ | 东方电气(600875.SH) 15: 数据不足(0 bars)
2026-03-04 14:16:00 | WARNING  | __main__ | 章源钨业(002378.SZ) 15: 数据不足(0 bars)
2026-03-04 14:16:00 | WARNING  | __main__ | 亨通光电(600487.SH) 15: 数据不足(0 bars)
2026-03-04 14:16:00 | WARNING  | __main__ | 大族激光(002008.SZ) 15: 数据不足(0 bars)
2026-03-04 14:16:00 | WARNING  | __main__ | 川润股份(002272.SZ) 15: 数据不足(0 bars)
2026-03-04 14:16:00 | WARNING  | __main__ | 烽火通信(600498.SH) 15: 数据不足(0 bars)
2026-03-04 14:16:00 | WARNING  | __main__ | 博纳影业(001330.SZ) 15: 数据不足(0 bars)
2026-03-04 14:16:00 | WARNING  | __main__ | 赣能股份(000899.SZ) 15: 数据不足(0 bars)
2026-03-04 14:16:00 | WARNING  | __main__ | 高澜股份(300499.SZ) 15: 数据不足(0 bars)
2026-03-04 14:16:00 | WARNING  | __main__ | 风华高科(000636.SZ) 15: 数据不足(0 bars)
2026-03-04 14:16:01 | WARNING  | __main__ | 中科环保(301175.SZ) 15: 数据不足(0 bars)
2026-03-04 14:16:01 | WARNING  | __main__ | 聚飞光电(300303.SZ) 15: 数据不足(0 bars)
2026-03-04 14:16:17 | INFO     | __main__ | 法尔胜(000890.SZ) 15m: 8815 bars, strength=0.983, close_pos=0.125, activity=0.027
2026-03-04 14:16:17 | WARNING  | __main__ | 启迪环境(000826.SZ) 15: 数据不足(0 bars)
2026-03-04 14:16:17 | WARNING  | __main__ | 胜宏科技(300476.SZ) 15: 数据不足(0 bars)
2026-03-04 14:16:17 | WARNING  | __main__ | 澄星股份(600078.SH) 15: 数据不足(0 bars)
2026-03-04 14:16:17 | WARNING  | __main__ | 华天科技(002185.SZ) 15: 数据不足(0 bars)
2026-03-04 14:16:17 | WARNING  | __main__ | 科力远(600478.SH) 15: 数据不足(0 bars)
2026-03-04 14:16:33 | INFO     | __main__ | 深科技(000021.SZ) 15m: 8833 bars, strength=0.940, close_pos=0.515, activity=0.237
2026-03-04 14:16:33 | WARNING  | __main__ | 通富微电(002156.SZ) 15: 数据不足(0 bars)
2026-03-04 14:16:33 | WARNING  | __main__ | 中国西电(601179.SH) 15: 数据不足(0 bars)
2026-03-04 14:16:33 | WARNING  | __main__ | 杭电股份(603618.SH) 15: 数据不足(0 bars)
2026-03-04 14:16:33 | WARNING  | __main__ | 云天化(600096.SH) 15: 数据不足(0 bars)
2026-03-04 14:16:33 | WARNING  | __main__ | 工业富联(601138.SH) 15: 数据不足(0 bars)
2026-03-04 14:16:33 | WARNING  | __main__ | 广安爱众(600979.SH) 15: 数据不足(0 bars)
2026-03-04 14:16:33 | WARNING  | __main__ | 保变电气(600550.SH) 15: 数据不足(0 bars)
2026-03-04 14:16:33 | WARNING  | __main__ | 包钢股份(600010.SH) 15: 数据不足(0 bars)
2026-03-04 14:16:33 | WARNING  | __main__ | 深南电路(002916.SZ) 15: 数据不足(0 bars)
2026-03-04 14:16:33 | WARNING  | __main__ | 天润工业(002283.SZ) 15: 数据不足(0 bars)
